,Date,In reality,Link,PolitiFact source,Score,Source,Statement
0,"on Thursday, July 25th, 2019",Needs context,/punditfact/statements/2019/jul/25/roland-martin/have-trump-judicial-nominees-refused-comment-brown/,— PunditFact,Mostly True,Roland Martin,"Republicans ""are advancing federal judges who won't even say that Brown vs. Board of Education was properly decided."""
1,"on Tuesday, July 23rd, 2019",A joke misunderstood,/punditfact/statements/2019/jul/23/occupy-democrats/no-fox-news-not-snubbing-muellers-testimony/,— PunditFact,False,Occupy Democrats,"""Fox ‘News’ just announced that they will not air Mueller’s testimony about his report, which they claim ‘exonerates’ Trump."""
2,"on Monday, July 15th, 2019",It didn't go away,/punditfact/statements/2019/jul/15/rush-limbaugh/limbaugh-wrongly-blames-obama-no-census-citizenshi/,— PunditFact,False,Rush Limbaugh,"""Somebody in the Obama regime decided to get rid of"" the citizenship question in the census."
3,"on Tuesday, July 2nd, 2019",They support a different approach,/punditfact/statements/2019/jul/02/jess-mcintosh/cnn-panelist-misses-mark-gop-support-medicare-all/,— PunditFact,Mostly False,Jess McIntosh,"""Fifty percent of Republicans are in favor of Medicare for All."""
4,"on Monday, July 1st, 2019",Racial gap has persisted for years,/punditfact/statements/2019/jul/01/ta-nehisi-coates/seeking-reparations-ta-nehisi-coates-says-typical-/,— PunditFact,True,Ta-Nehisi Coates,"""The typical black family in this country has one-tenth the wealth of the typical white family."""
5,"on Tuesday, June 25th, 2019",Part of a larger trend,/punditfact/statements/2019/jun/25/charles-payne/fox-business-host-wrongly-claimed-market-crashed-i/,— PunditFact,Mostly False,Charles Payne,"""When President Obama was elected, the market crashed … Trump was up 9%, President Obama was down 14.8% and President Bush was down almost 4%. There is an instant reaction on Wall Street."""
6,"on Thursday, June 13th, 2019",He resigned first,/punditfact/statements/2019/jun/13/jimmy-kimmel/no-nixon-was-never-officially-impeached-he-resigne/,— PunditFact,False,Jimmy Kimmel,"""Richard Nixon was the last president to be impeached."""
7,"on Wednesday, May 15th, 2019",What's in a name?,/punditfact/statements/2019/may/15/anthony-scaramucci/mooch-missteps-chinas-wto-misbehavior/,— PunditFact,Half-True,Anthony Scaramucci,"China’s developing country status in the World Trade Organization ""means they can tariff and embargo."""
8,"on Friday, May 10th, 2019",Exaggerates slightly,/punditfact/statements/2019/may/10/joel-griffith/some-countries-ditched-wealth-taxes-what-might-mea/,— PunditFact,Mostly True,Joel Griffith,"""Of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since then abandoned it."""
9,"on Wednesday, April 10th, 2019",Not a myth,/punditfact/statements/2019/apr/10/candace-owens/candace-owens-pants-fire-statement-southern-strate/,— PunditFact,False,Candace Owens,"The Southern strategy is a ""myth"" that ""never happened."""
10,"on Thursday, March 21st, 2019",Misreads history,/punditfact/statements/2019/mar/21/katie-pavlich/conservative-pundit-gets-schooled-history-american/,— PunditFact,False,Katie Pavlich,"""America came along as the first country to end (slavery) within 150 years."""
11,"on Wednesday, March 13th, 2019","Slight edge on jobs, not stocks",/punditfact/statements/2019/mar/13/matthew-dowd/did-obamas-final-years-beat-trump-jobs-stock-value/,— PunditFact,Half-True,Matthew Dowd,"""Job growth and stock growth for the first two years of Trump are down from where they were (during the) last two years of Obama."""
12,"on Tuesday, March 5th, 2019",Let's check the tape,/punditfact/statements/2019/mar/05/zerlina-maxwell/was-bernie-sanders-mute-race-gender-top-his-2020-k/,— PunditFact,False,Zerlina Maxwell,"Says Bernie Sanders ""did not mention race or gender until 23 minutes into this speech"" announcing his 2020 presidential run."
13,"on Tuesday, February 26th, 2019","It's bad in some places, not everywhere",/punditfact/statements/2019/feb/26/heidi-heitkamp/does-us-have-record-bankruptcies-farm-country/,— PunditFact,Mostly False,Heidi Heitkamp,"""We have record bankruptcies in farming country."""
14,"on Tuesday, February 19th, 2019",Overheated rhetoric,/punditfact/statements/2019/feb/19/rush-limbaugh/scientists-response-rush-limbaughs-climate-denial-/,— PunditFact,False,Rush Limbaugh,"""Climate change is nothing but a bunch of computer models that attempt to tell us what's going to happen in 50 years or 30. Notice the predictions are never for next year or the next 10 years. They're always for way, way, way, way out there, when none of us are going to be around or alive to know whether or not they were true."""
15,"on Wednesday, February 6th, 2019",Poll didn't ask about a 70% rate,/punditfact/statements/2019/feb/06/michael-moore/70-americans-favor-70-tax-rich-according-fox-news-/,— PunditFact,Mostly False,Michael Moore,"""Seventy percent of the American public agree with"" Alexandria Ocasio-Cortez ""on having the top marginal (tax) rate for the rich"" at 70 percent, and ""that's a Fox News Poll saying that."""
16,"on Thursday, January 24th, 2019",How soaked are the rich?,/punditfact/statements/2019/jan/24/maria-bartiromo/fox-news-host-clashes-ocasio-cortez-over-taxing-ri/,— PunditFact,Mostly False,Maria Bartiromo,"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes."""
